review,rating,date,bank,source
good app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
bayeee galatooma kana caalati nu gammachisa,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-07,Commercial Bank of Ethiopia,Google Play
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
numbers 2 and 3 don t write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn t been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play
loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play
cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play
"after the recent updates, i am unable to download a receipt. i can t see the names of account holders i ve previously transacted with. very important. please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-02,Commercial Bank of Ethiopia,Google Play
wow,4,2025-11-02,Commercial Bank of Ethiopia,Google Play
mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good,3,2025-11-01,Commercial Bank of Ethiopia,Google Play
it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play
5 11,1,2025-10-31,Commercial Bank of Ethiopia,Google Play
i love this app b c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play
niiceh,5,2025-10-29,Commercial Bank of Ethiopia,Google Play
the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,Google Play
,1,2025-10-29,Commercial Bank of Ethiopia,Google Play
abdulakim abrahim elemoo,5,2025-10-29,Commercial Bank of Ethiopia,Google Play
good app,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
strong,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
best,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
abebaw zenebe,5,2025-10-28,Commercial Bank of Ethiopia,Google Play
good i love it keep it up but if we had a new update that will be fire soo good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
cbe,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
fast app,4,2025-10-27,Commercial Bank of Ethiopia,Google Play
cool,5,2025-10-27,Commercial Bank of Ethiopia,Google Play
galaxy a10s,3,2025-10-26,Commercial Bank of Ethiopia,Google Play
the best apps,5,2025-10-26,Commercial Bank of Ethiopia,Google Play
arif app new,5,2025-10-26,Commercial Bank of Ethiopia,Google Play
laga bari biranch,5,2025-10-26,Commercial Bank of Ethiopia,Google Play
,5,2025-10-26,Commercial Bank of Ethiopia,Google Play
i would like to suggest you improve the time out as it takes the money and doesn t return it back until the next day.,3,2025-10-25,Commercial Bank of Ethiopia,Google Play
attractive,5,2025-10-25,Commercial Bank of Ethiopia,Google Play
mite,5,2025-10-24,Commercial Bank of Ethiopia,Google Play
useful,5,2025-10-24,Commercial Bank of Ethiopia,Google Play
nice,4,2025-10-23,Commercial Bank of Ethiopia,Google Play
"not good, not bad!",3,2025-10-23,Commercial Bank of Ethiopia,Google Play
very good,5,2025-10-23,Commercial Bank of Ethiopia,Google Play
100 10 ampsa,1,2025-10-22,Commercial Bank of Ethiopia,Google Play
good job,5,2025-10-22,Commercial Bank of Ethiopia,Google Play
imp,5,2025-10-22,Commercial Bank of Ethiopia,Google Play
super fast app,5,2025-10-21,Commercial Bank of Ethiopia,Google Play
good app,4,2025-10-20,Commercial Bank of Ethiopia,Google Play
useful,5,2025-10-20,Commercial Bank of Ethiopia,Google Play
"the app has a nice design and useful features like balance check and transfers, but it s unstable and often fails to connect. it also forces users to turn off developer options, which is unnecessary other banking apps work fine without that. many people use developer mode for normal reasons. please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Commercial Bank of Ethiopia,Google Play
cbe,4,2025-10-18,Commercial Bank of Ethiopia,Google Play
it says ti is work any more in your device what can i do??,1,2025-10-18,Commercial Bank of Ethiopia,Google Play
blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-17,Commercial Bank of Ethiopia,Google Play
bad,1,2025-10-17,Commercial Bank of Ethiopia,Google Play
best,5,2025-10-17,Commercial Bank of Ethiopia,Google Play
cbe no.1,5,2025-10-17,Commercial Bank of Ethiopia,Google Play
good,5,2025-10-16,Commercial Bank of Ethiopia,Google Play
"it s not work correctly when it s needed sometimes, but it works sometimes though",2,2025-10-16,Commercial Bank of Ethiopia,Google Play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Commercial Bank of Ethiopia,Google Play
gooof,5,2025-10-16,Commercial Bank of Ethiopia,Google Play
"suddenly the cbe application i was using stopped working and called callcenter, i was told it s because it expired and i should vist any branch to fix it. so i went to cbe silassie branch.after filling a form they gave me, i sat down and waited until they finish fixing 2 customer s case who arrived before me. but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,Google Play
best app,5,2025-10-16,Commercial Bank of Ethiopia,Google Play
best,5,2025-10-15,Commercial Bank of Ethiopia,Google Play
still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,Google Play
this app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. i think it is a risk full app,1,2025-10-15,Commercial Bank of Ethiopia,Google Play
